ФИО,ИНН,Номер телефона,Электронная почта,Дата рождения,Достижения
Александрова Кира Никитична,567901234567,+79710123456,galina.pavlova44@yandex.ru,09.01.1986,Участие в организации фестиваля анимационного кино
Григорьева Милана Данииловна,678012345678,+79721234567,ilya.romanov79@yandex.ru,02.03.1958,Организация игрового дня для детей с ограниченными возможностями
Богданова Арина Тимофеевна,789123456789,+79732345678,zhanna.sokolova63@yandex.ru,15.05.2003,Помощь в проведении социологического исследования
Сергеева Ева Арсеньевна,890234567890,+79743456789,konstantin.titov91@yandex.ru,27.11.1976,Сбор средств на ремонт спортивной площадки
Жукова Софья Матвеевна,901345678901,+79754567890,larisa.ustyugova40@yandex.ru,13.07.1993,Участие в организации фестиваля экспериментального кино
Воробьева Маргарита Львовна,123456789123,+79765678901,maksim.fedorov75@yandex.ru,22.02.2006,Организация мастер-класса по журналистике
Морозова Есения Егоровна,234567890234,+79776789012,nadezhda.kharlamova58@yandex.ru,06.04.1968,Помощь в проведении спортивных соревнований по настольному теннису
Филиппова Злата Ярославовна,345678901345,+79787890123,oleg.tsarev85@yandex.ru,17.10.1989,Сбор средств на покупку очков
Герасимова Василиса Михайловна,456789012456,+79798901234,polina.chernykh69@yandex.ru,24.06.2015,Участие в организации фестиваля авторской песни
Крылова Есения Александровна,567890123567,+79909012345,ruslan.shilov97@yandex.ru,31.08.1979,Организация лекции по правильному питанию
Белова Арина Дмитриевна,678901234678,+79910123456,sofia.yakunin43@yandex.ru,10.12.1996,Помощь в проведении экологической акции по раздельному сбору мусора
Виноградова София Сергеевна,789012345789,+79921234567,timur.anisimov78@yandex.ru,03.05.1962,Сбор средств на покупку музыкальных инструментов
Комарова Елизавета Андреевна,890123456890,+79932345678,uliana.bykova62@yandex.ru,19.11.2009,Участие в организации фестиваля уличных танцев
Беляева Варвара Михайловна,901234567901,+79943456789,fedor.voronin90@yandex.ru,05.03.1983,"Организация игрового дня для детей, переживших травму"
Игнатова Александра Николаевна,123456789234,+79954567890,valentina.galkina56@yandex.ru,21.07.2000,Помощь в проведении ботанических исследований
Щербакова Валерия Владимировна,234567890345,+79965678901,anton.dudkin74@yandex.ru,28.04.2017,Сбор средств на ремонт компьютерного класса
Савина Вероника Юрьевна,345678901456,+79976789012,boris.ershov47@yandex.ru,12.09.1981,Участие в организации фестиваля современного искусства
Терентьева Ульяна Игоревна,456789012567,+79987890123,vera.zhdanova82@yandex.ru,04.01.1998,Организация мастер-класса по гончарному делу
Романова Кира Евгеньевна,567890123678,89474090536,gennadiy.karpov66@yandex.ru,20.05.1965,Помощь в проведении спортивных соревнований по волейболу
Архипова Милана Олеговна,678901234789,89551143901,darya.lykov94@yandex.ru,26.10.2011,Сбор средств на покупку инвалидного кресла-коляски с электроприводом
Ершова Арина Павловна,789012345890,89924975294,evgeniy.maslov41@yandex.ru,09.02.1987,Участие в организации фестиваля ретро-автомобилей
Орлова Ева Антоновна,890123456901,89189580571,zinaida.nechaeva76@yandex.ru,02.04.1959,Организация лекции по финансовой грамотности для подростков
Борисова Софья Романовна,901234567012,89903505669,igor.panfilov59@yandex.ru,15.06.2004,Помощь в проведении экологической акции по защите редких видов животных
Львова Маргарита Денисовна,123456789345,89822174178,klara.romanova86@yandex.ru,27.12.1977,Сбор средств на покупку оборудования для сенсорной комнаты
Куликова Есения Артемовна,234567890456,89883665639,leonid.sidorov70@yandex.ru,13.08.1994,Участие в организации фестиваля национальных игр
Денисова Злата Максимовна,345678901567,89802953160,marina.titova44@yandex.ru,22.03.2007,"Организация игрового дня для детей, находящихся в трудной жизненной ситуации"
Соловьева Василиса Кирилловна,456789012678,89105475699,nikita.fomin79@yandex.ru,06.05.1969,Помощь в проведении орнитологических исследований
Журавлева Есения Ильинична,567890123789,89049880126,olga.kharitonova63@yandex.ru,17.11.1990,Сбор средств на ремонт актового зала
Титова Арина Владиславовна,678901234890,89067281678,petr.tsarev91@yandex.ru,24.07.2016,Участие в организации фестиваля косплея
Мельникова Ева Никитична,789012345901,89672037655,rita.chernova40@yandex.ru,31.09.1980,Организация мастер-класса по созданию комиксов
Власова Софья Данииловна,890123456012,89218938482,sergey.shishkin75@yandex.ru,10.01.1997,Помощь в проведении спортивных соревнований по баскетболу
Гаврилова Маргарита Тимофеевна,901234567123,89058571157,tatyana.yakovleva58@yandex.ru,03.06.1963,Сбор средств на покупку специализированного питания для больных детей
Федотова Есения Арсеньевна,123456789456,89903135353,viktor.andreev85@yandex.ru,19.12.2010,Участие в организации фестиваля воздушных шаров
Белоусова Злата Матвеевна,234567890567,89127022737,yulia.belyaeva69@yandex.ru,05.04.1984,Организация лекции по профилактике заболеваний
Гусева Василиса Львововна,345678901678,89045963579,aleksandr.golubev97@yandex.ru,21.08.2001,Помощь в проведении экологической акции по восстановлению лесов
Ивановская Анна Ивановна,456789012789,89109670951,mariya.dmitrieva43@yandex.ru,28.05.2018,Сбор средств на покупку оборудования для реабилитационного центра
Петровская Мария Петровна,567890123890,89794134598,dmitriy.egorov78@yandex.ru,12.10.1982,Участие в организации фестиваля средневековой культуры
Сидоровская Елена Сидоровна,678901234901,89440022720,elena.zhukova62@yandex.ru,04.02.1999,Организация игрового дня для детей из приемных семей
Смирновская Ольга Алексеевна,789012345012,89454742245,ivan.zaitsev90@yandex.ru,20.06.1966,Помощь в проведении геологических исследований
Кузнецовская Татьяна Дмитриевна,890123456123,89632757660,natalia.ivanova56@yandex.ru,26.11.2012,Сбор средств на ремонт кабинета психолога
Поповская Наталья Сергеевна,901234567234,89479331545,angelina.ermakov50@yandex.ru,09.03.1988,Участие в организации фестиваля огненных искусств
Васильевская Ирина Андреевна,123456789567,89299032167,stepan.savelyev67@yandex.ru,02.05.1960,Организация мастер-класса по созданию украшений ручной работы
Федоровская Светлана Михайловна,234567890678,89882838685,alina.zhdanov34@yandex.ru,15.07.2005,Помощь в проведении спортивных соревнований по футболу
Соколовская Юлия Николаевна,345678901789,89199902591,nikita.frolov51@yandex.ru,27.01.1978,Сбор средств на покупку оборудования для логопедического кабинета
Михайловская Екатерина Владимировна,456789012890,89878157869,valeria.khokhlov68@yandex.ru,13.09.1995,Участие в организации фестиваля красок Холи
Новиковская Анастасия Юрьевна,678901234012,89993646181,artur.terentyev35@yandex.ru,22.04.2008,Организация лекции по безопасности в интернете
Дмитриевская Виктория Игоревна,789012345123,89972501836,arina.bogdanov52@yandex.ru,06.06.1970,Сбор средств на покупку интерактивной доски для школы
Волковская Ксения Евгеньевна,890123456234,89303380818,vladislav.voloshin69@yandex.ru,17.12.1991,Участие в организации фестиваля уличной магии
Зайцевская Полина Олеговна,901234567345,89083570881,elizaveta.dementiev36@yandex.ru,24.08.2017,"Организация игрового дня для детей, потерявших родителей"
Лебедевская Дарья Павловна,123456789678,89338633156,ilya.dyakonov53@yandex.ru,31.10.1981,Помощь в проведении гидрологических исследований
Семеновская Алиса Антоновна,234567890789,89082495757,miron.ershov70@yandex.ru,10.02.1998,Сбор средств на ремонт кабинета трудотерапии
Егоровская София Романовна,345678901890,89346589447,eva.zhuravlev37@yandex.ru,03.07.1964,Участие в организации фестиваля исторической реконструкции боев
Павловская Елизавета Денисовна,456789012901,89184266753,platon.zotov54@yandex.ru,19.01.2011,Организация мастер-класса по созданию оригами
Козловская Варвара Артемовна,567890123012,89072862112,emilia.klimov71@yandex.ru,05.05.1985,Помощь в проведении спортивных соревнований по легкой атлетике
Степановская Александра Максимовна,678901234123,89798696809,david.lazarev38@yandex.ru,21.09.2002,Сбор средств на покупку специализированной мебели для детей с ДЦП
Николаевская Валерия Кирилловна,789012345234,89138535307,eva.novikov55@yandex.ru,28.06.2019,Участие в организации фестиваля этнической кухни
Андреевская Вероника Ильинична,890123456345,89108861363,mark.osipov72@yandex.ru,12.11.1983,Организация лекции по основам гражданской обороны
Яковлевская Ульяна Владиславовна,901234567456,89156596021,sofia.pavlov39@yandex.ru,04.03.2000,Помощь в проведении экологической акции по борьбе с браконьерством
Александровская Кира Никитична,123456789789,89356878690,leon.rozhkov56@yandex.ru,20.07.1967,Сбор средств на покупку оборудования для кабинета физиотерапии
Григорьевская Милана Данииловна,234567890890,89091993613,anna.sidorov73@yandex.ru,26.12.2013,Участие в организации фестиваля авторского кино
Богдановская Арина Тимофеевна,345678901901,89329136689,timur.ustinov40@yandex.ru,09.04.1989,"Организация игрового дня для детей, находящихся на длительном лечении"
Сергеевская Ева Арсеньевна,456789012012,89024741333,varvara.filippov57@yandex.ru,02.06.1961,Помощь в проведении энтомологических исследований
Жуковская Софья Матвеевна,567890123123,89566273269,gleb.kharlamov74@yandex.ru,15.08.2006,Сбор средств на ремонт кабинета сенсорной интеграции
Воробьева Маргарита Львовна,678901234234,89559876169,diana.tsvetkov41@yandex.ru,27.02.1979,Участие в организации фестиваля живой музыки
Морозова Есения Егоровна,789012345345,89336043153,arseniy.chistyakov58@yandex.ru,13.10.1996,Организация мастер-класса по созданию витражей
Филиппова Злата Ярославовна,890123456456,89563482868,alisa.shishkin75@yandex.ru,22.05.2009,Помощь в проведении спортивных соревнований по гимнастике
Герасимова Василиса Михайловна,901234567567,89842523779,matvey.yakovlev42@yandex.ru,06.07.1971,Сбор средств на покупку специализированного оборудования для слабовидящих детей
Крылова Есения Александровна,123456789890,89856436422,mariya.vasilyev59@yandex.ru,17.01.1992,Участие в организации фестиваля народных промыслов
Белова Арина Дмитриевна,234567890901,+79999012345,nikita.petrov76@yandex.ru,24.09.2018,Организация лекции по профилактике буллинга
